secid,date,days,volatility,ticker,index_flag
107525,20130326,182,0.178286,MSFT,0
107525,20130326,273,0.182013,MSFT,0
107525,20130326,365,0.194924,MSFT,0
107525,20130326,547,0.202949,MSFT,0
107525,20130326,730,0.21828,MSFT,0
107525,20130326,1825,0.315613,MSFT,0
107525,20130327,10,0.076888,MSFT,0
107525,20130327,14,0.080252,MSFT,0
107525,20130327,30,0.092867,MSFT,0
107525,20130327,60,0.124806,MSFT,0
107525,20130327,91,0.149242,MSFT,0
107525,20130327,122,0.157355,MSFT,0
107525,20130327,152,0.179988,MSFT,0
107525,20130327,182,0.178376,MSFT,0
107525,20130327,273,0.18214,MSFT,0
107525,20130327,365,0.195085,MSFT,0
107525,20130327,547,0.202912,MSFT,0
107525,20130327,730,0.218258,MSFT,0
107525,20130327,1825,0.315622,MSFT,0
107525,20130328,10,0.085882,MSFT,0
107525,20130328,14,0.08114,MSFT,0
107525,20130328,30,0.095293,MSFT,0
107525,20130328,60,0.12469,MSFT,0
107525,20130328,91,0.14986,MSFT,0
107525,20130328,122,0.156558,MSFT,0
107525,20130328,152,0.179538,MSFT,0
107525,20130328,182,0.178801,MSFT,0
107525,20130328,273,0.182135,MSFT,0
107525,20130328,365,0.195029,MSFT,0
107525,20130328,547,0.202987,MSFT,0
107525,20130328,730,0.218321,MSFT,0
107525,20130328,1825,0.315518,MSFT,0
107525,20130401,10,0.080982,MSFT,0
107525,20130401,14,0.081066,MSFT,0
107525,20130401,30,0.084207,MSFT,0
107525,20130401,60,0.121926,MSFT,0
107525,20130401,91,0.146954,MSFT,0
107525,20130401,122,0.152772,MSFT,0
107525,20130401,152,0.178635,MSFT,0
107525,20130401,182,0.17807,MSFT,0
107525,20130401,273,0.180693,MSFT,0
107525,20130401,365,0.19536,MSFT,0
107525,20130401,547,0.202352,MSFT,0
107525,20130401,730,0.218632,MSFT,0
107525,20130401,1825,0.315164,MSFT,0
107525,20130402,10,0.077122,MSFT,0
107525,20130402,14,0.084686,MSFT,0
107525,20130402,30,0.08422,MSFT,0
107525,20130402,60,0.115586,MSFT,0
107525,20130402,91,0.146144,MSFT,0
107525,20130402,122,0.152146,MSFT,0
107525,20130402,152,0.170915,MSFT,0
107525,20130402,182,0.178134,MSFT,0
107525,20130402,273,0.180698,MSFT,0
107525,20130402,365,0.195481,MSFT,0
107525,20130402,547,0.202034,MSFT,0
107525,20130402,730,0.218458,MSFT,0
107525,20130402,1825,0.315168,MSFT,0
107525,20130403,10,0.098922,MSFT,0
107525,20130403,14,0.10028,MSFT,0
107525,20130403,30,0.088022,MSFT,0
107525,20130403,60,0.116457,MSFT,0
107525,20130403,91,0.131745,MSFT,0
107525,20130403,122,0.152105,MSFT,0
107525,20130403,152,0.17141,MSFT,0
107525,20130403,182,0.17825,MSFT,0
107525,20130403,273,0.180458,MSFT,0
107525,20130403,365,0.195358,MSFT,0
107525,20130403,547,0.200448,MSFT,0
107525,20130403,730,0.218539,MSFT,0
107525,20130403,1825,0.315181,MSFT,0
107525,20130404,10,0.093411,MSFT,0
107525,20130404,14,0.087611,MSFT,0
107525,20130404,30,0.084949,MSFT,0
107525,20130404,60,0.115034,MSFT,0
107525,20130404,91,0.128513,MSFT,0
107525,20130404,122,0.151458,MSFT,0
107525,20130404,152,0.170581,MSFT,0
107525,20130404,182,0.178058,MSFT,0
107525,20130404,273,0.180455,MSFT,0
107525,20130404,365,0.194003,MSFT,0
107525,20130404,547,0.1997,MSFT,0
107525,20130404,730,0.218454,MSFT,0
107525,20130404,1825,0.315056,MSFT,0
107525,20130405,10,0.092158,MSFT,0
107525,20130405,14,0.086437,MSFT,0
107525,20130405,30,0.077997,MSFT,0
107525,20130405,60,0.105475,MSFT,0
107525,20130405,91,0.122037,MSFT,0
107525,20130405,122,0.151413,MSFT,0
107525,20130405,152,0.169854,MSFT,0
107525,20130405,182,0.17795,MSFT,0
107525,20130405,273,0.179454,MSFT,0
107525,20130405,365,0.193774,MSFT,0
107525,20130405,547,0.199236,MSFT,0
107525,20130405,730,0.218242,MSFT,0
107525,20130405,1825,0.314935,MSFT,0
107525,20130408,10,0.085045,MSFT,0
107525,20130408,14,0.087667,MSFT,0
107525,20130408,30,0.078934,MSFT,0
