secid,date,cp_flag,index_flag,ticker,volume,open_interest
107525,20121003,P,0,MSFT,92979,1505464
107525,20121004,,0,MSFT,170204,3811452
107525,20121004,C,0,MSFT,74614,2266260
107525,20121004,P,0,MSFT,95590,1545192
107525,20121005,,0,MSFT,161341,3876400
107525,20121005,C,0,MSFT,59612,2278733
107525,20121005,P,0,MSFT,101729,1597667
107525,20121008,,0,MSFT,99454,3898840
107525,20121008,C,0,MSFT,66293,2273766
107525,20121008,P,0,MSFT,33161,1625074
107525,20121009,,0,MSFT,191455,3923923
107525,20121009,C,0,MSFT,123266,2286527
107525,20121009,P,0,MSFT,68189,1637396
107525,20121010,,0,MSFT,217274,3951624
107525,20121010,C,0,MSFT,142227,2307948
107525,20121010,P,0,MSFT,75047,1643676
107525,20121011,,0,MSFT,148161,3955770
107525,20121011,C,0,MSFT,81132,2326039
107525,20121011,P,0,MSFT,67029,1629731
107525,20121012,,0,MSFT,122817,4004357
107525,20121012,C,0,MSFT,79622,2357432
107525,20121012,P,0,MSFT,43195,1646925
107525,20121015,,0,MSFT,142462,4008530
107525,20121015,C,0,MSFT,81375,2368798
107525,20121015,P,0,MSFT,61087,1639732
107525,20121016,,0,MSFT,112541,4061561
107525,20121016,C,0,MSFT,75806,2397671
107525,20121016,P,0,MSFT,36735,1663890
107525,20121017,,0,MSFT,165781,4081490
107525,20121017,C,0,MSFT,84144,2424220
107525,20121017,P,0,MSFT,81637,1657270
107525,20121018,,0,MSFT,414711,4096140
107525,20121018,C,0,MSFT,217247,2431794
107525,20121018,P,0,MSFT,197464,1664346
107525,20121019,,0,MSFT,429836,4227683
107525,20121019,C,0,MSFT,206523,2502994
107525,20121019,P,0,MSFT,223313,1724689
107525,20121022,,0,MSFT,375311,3578535
107525,20121022,C,0,MSFT,215642,2125725
107525,20121022,P,0,MSFT,159669,1452810
107525,20121023,,0,MSFT,177555,3727186
107525,20121023,C,0,MSFT,122184,2217460
107525,20121023,P,0,MSFT,55371,1509726
107525,20121024,,0,MSFT,111715,3791349
107525,20121024,C,0,MSFT,56679,2263311
107525,20121024,P,0,MSFT,55036,1528038
107525,20121025,,0,MSFT,131793,3820493
107525,20121025,C,0,MSFT,91474,2277527
107525,20121025,P,0,MSFT,40319,1542966
107525,20121026,,0,MSFT,148370,3869598
107525,20121026,C,0,MSFT,95213,2317170
107525,20121026,P,0,MSFT,53157,1552428
107525,20121031,,0,MSFT,116137,3826613
107525,20121031,C,0,MSFT,72177,2304008
107525,20121031,P,0,MSFT,43960,1522605
107525,20121101,,0,MSFT,224917,3868296
107525,20121101,C,0,MSFT,148363,2329613
107525,20121101,P,0,MSFT,76554,1538683
107525,20121102,,0,MSFT,225931,3908070
107525,20121102,C,0,MSFT,133922,2358098
107525,20121102,P,0,MSFT,92009,1549972
107525,20121105,,0,MSFT,109925,3959952
107525,20121105,C,0,MSFT,50514,2386852
107525,20121105,P,0,MSFT,59411,1573100
107525,20121106,,0,MSFT,193645,3990551
107525,20121106,C,0,MSFT,120812,2395524
