secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
106276,20130801,122,35,0.162893,202.6347,4.06244,0.003258,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,40,0.165151,200.2654,4.965125,0.003477,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,45,0.167647,197.9733,5.979097,0.003845,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,50,0.170377,195.6443,7.114742,0.004171,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,55,0.173339,193.2863,8.401898,0.004635,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,60,0.176711,190.8288,9.876558,0.00527,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,65,0.180589,188.2139,11.58061,0.006522,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,70,0.185614,185.3334,13.62646,0.01066,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,75,0.193995,181.9293,16.29224,0.021038,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,122,80,0.209678,177.4198,20.16517,0.038621,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,-80,0.160535,213.45,21.3842,0.006739,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,-75,0.162084,209.8727,18.53749,0.00333,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,-70,0.163588,206.6763,16.15351,0.002669,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,-65,0.1654,203.7432,14.1282,0.003073,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,-60,0.167619,200.97,12.37378,0.00357,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,-55,0.170189,198.2672,10.81797,0.003993,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,-50,0.173063,195.5717,9.415553,0.004439,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,-45,0.176311,192.8267,8.139637,0.005116,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,-40,0.180137,189.967,6.971856,0.006108,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,-35,0.184768,186.9138,5.899314,0.007429,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,-30,0.190505,183.5573,4.910105,0.009497,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,-25,0.198039,179.7128,3.994508,0.013483,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,-20,0.208809,175.0431,3.151331,0.020893,P,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,20,0.156861,212.5198,2.098969,0.003644,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,25,0.158401,209.175,2.817196,0.003036,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,30,0.16042,206.1894,3.626666,0.003144,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,35,0.162589,203.4141,4.528757,0.00327,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,40,0.164859,200.8053,5.525309,0.003451,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,45,0.1673,198.2083,6.644296,0.003745,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,50,0.169982,195.6332,7.897709,0.004111,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,55,0.172951,193.0363,9.310694,0.004593,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,60,0.176314,190.3094,10.92448,0.005265,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,65,0.180246,187.4385,12.79435,0.00665,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,70,0.185439,184.2769,15.04026,0.010953,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,75,0.194123,180.55,17.96289,0.021377,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,152,80,0.210024,175.6311,22.18831,0.039062,C,45920010,IBM,3571,0,1,,0,824
106276,20130801,182,-80,0.160869,215.5246,23.61396,0.005597,P,45920010,IBM,3571,0,1,,0,824
