secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
108105,20130801,122,-45,0.139064,1685.997,49.08069,0.006695,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,-40,0.143354,1668.001,42.46057,0.00749,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,-35,0.148682,1648.275,36.36941,0.009245,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,-30,0.155647,1625.786,30.76287,0.011019,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,-25,0.163571,1599.667,25.32363,0.013307,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,-20,0.173271,1567.993,20.07737,0.018963,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,20,0.115789,1798.288,12.38518,0.005516,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,25,0.1191,1780.729,16.98023,0.005569,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,30,0.122389,1764.328,22.21812,0.005674,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,35,0.12576,1748.513,28.1776,0.005829,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,40,0.12928,1732.865,34.9598,0.006122,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,45,0.133113,1717.05,42.73005,0.006543,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,50,0.137248,1700.7,51.6531,0.006823,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,55,0.141358,1683.479,61.80288,0.007068,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,60,0.145612,1665.103,73.46836,0.00803,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,65,0.150988,1644.913,87.49982,0.009747,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,70,0.157621,1622.006,104.6473,0.010909,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,75,0.164064,1596.053,124.8605,0.011176,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,122,80,0.169588,1566.586,148.5864,0.011215,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,-80,0.114921,1811.53,130.2526,0.005512,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,-75,0.118429,1791.745,115.4984,0.005124,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,-70,0.121607,1773.143,102.5868,0.00504,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,-65,0.124812,1755.323,91.21889,0.005297,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,-60,0.128289,1737.872,81.13264,0.005761,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,-55,0.132138,1720.34,72.04948,0.006279,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,-50,0.136295,1702.277,63.68423,0.006719,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,-45,0.140601,1683.291,55.79886,0.007216,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,-40,0.145295,1663.002,48.38921,0.008321,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,-35,0.151302,1640.638,41.61806,0.01011,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,-30,0.158896,1615.093,35.31887,0.011665,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,-25,0.167199,1585.534,29.11158,0.013986,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,-20,0.177391,1549.694,23.11789,0.019798,P,64881510,SPX,9999,1,32768,,A,
