secid,record_date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,seq_num,ex_date,amount,adj_factor,declare_date,payment_date,link_secid,distr_type,frequency,currency,approx_flag,cancel_flag,liquid_flag
107525,20110519,59491810,MSFT,7372,0,4,,0,826,1,20110517,0.16,1,20110314,20110609,0,1,3,USD,0,0,0
107525,20110818,59491810,MSFT,7372,0,4,,0,826,1,20110816,0.16,1,20110615,20110908,0,1,3,USD,0,0,0
107525,20111117,59491810,MSFT,7372,0,4,,0,826,1,20111115,0.2,1,20110920,20111208,0,1,3,USD,0,0,0
107525,20120216,59491810,MSFT,7372,0,4,,0,826,1,20120214,0.2,1,20111214,20120308,0,1,3,USD,0,0,0
107525,20120517,59491810,MSFT,7372,0,4,,0,826,1,20120515,0.2,1,20120313,20120614,0,1,3,USD,0,0,0
107525,20120816,59491810,MSFT,7372,0,4,,0,826,1,20120814,0.2,1,20120613,20120913,0,1,3,USD,0,0,0
107525,20121115,59491810,MSFT,7372,0,4,,0,826,1,20121113,0.23,1,20120918,20121213,0,1,3,USD,0,0,0
107525,20130221,59491810,MSFT,7372,0,4,,0,826,1,20130219,0.23,1,20121128,20130314,0,1,3,USD,0,0,0
107525,20130516,59491810,MSFT,7372,0,4,,0,826,1,20130514,0.23,1,20130311,20130613,0,1,3,USD,0,0,0
107525,20130815,59491810,MSFT,7372,0,4,,0,826,1,20130813,0.23,1,20130612,20130912,0,1,3,USD,0,0,0
107525,20131121,59491810,MSFT,7372,0,4,,0,826,1,20131119,0.28,1,20130917,20131212,0,1,3,USD,0,0,0
107525,20140221,59491810,MSFT,7372,0,4,,0,826,0,20140219,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20140521,59491810,MSFT,7372,0,4,,0,826,0,20140519,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20140821,59491810,MSFT,7372,0,4,,0,826,0,20140819,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20141121,59491810,MSFT,7372,0,4,,0,826,0,20141119,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20150220,59491810,MSFT,7372,0,4,,0,826,0,20150218,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20150521,59491810,MSFT,7372,0,4,,0,826,0,20150519,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20150821,59491810,MSFT,7372,0,4,,0,826,0,20150819,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20151120,59491810,MSFT,7372,0,4,,0,826,0,20151118,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20160222,59491810,MSFT,7372,0,4,,0,826,0,20160218,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20160520,59491810,MSFT,7372,0,4,,0,826,0,20160518,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20160822,59491810,MSFT,7372,0,4,,0,826,0,20160818,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20161121,59491810,MSFT,7372,0,4,,0,826,0,20161117,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20170221,59491810,MSFT,7372,0,4,,0,826,0,20170217,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20170522,59491810,MSFT,7372,0,4,,0,826,0,20170518,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20170821,59491810,MSFT,7372,0,4,,0,826,0,20170817,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20171121,59491810,MSFT,7372,0,4,,0,826,0,20171117,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20180221,59491810,MSFT,7372,0,4,,0,826,0,20180219,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20180521,59491810,MSFT,7372,0,4,,0,826,0,20180517,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20180821,59491810,MSFT,7372,0,4,,0,826,0,20180817,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
107525,20181121,59491810,MSFT,7372,0,4,,0,826,0,20181119,0.008539,0,19000101,19000101,0,%,0,USD,0,0,0
